trial_index,Drug,SL_1,SL_2,SL_3,LL_1,LL_2,LL_3,P_1,P_2,P_3,S_1,S_2,S_3,Water,Complexity,Complexity_STD,Formulation,Size,Size_STD,PDI,PDI_STD,Formulation Quality,Solu,Solu_STD,iteration,Theoretical loading,Theoretical loading_STD
55,0.459,0.0,0.0,0.0,0.0,0.0,0.0,0.541,0.0,0.0,0.0,1.0,0.0,0.0,2,0,Formulation 8,24.93223317377027,1.24574319533799,0.3515335695686803,0.09153780301086258,1,918.0000000000001,0,3,0.459,0
56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,Formulation 9,1000.0,0.0,1.0,0.0,0,0.0,0,3,0.0,0
57,0.645,0.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,0,Formulation 10,1000.0,0.0,1.0,0.0,0,0.0,0,3,0.0,0
58,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,Formulation 11,24.44974890275573,0.3837082799911566,0.1360422119145757,0.07289264959709571,1,2000.0,0,3,1.0,0
59,0.077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.923,0.0,1.0,0.0,0.0,2,0,Formulation 12,1000.0,0.0,1.0,0.0,0,0.0,0,3,0.0,0
60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,Formulation 13,24.05245968180684,0.0429976271687816,0.08689401220377516,0.06839048761230757,1,2000.0,0,3,1.0,0
61,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,Formulation 14,23.62928055518952,0.3251238199699861,0.1017790513860657,0.01190366774224238,1,2000.0,0,3,1.0,0
62,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,Formulation 15,24.27487447108495,0.569953090984279,0.141656481192396,0.04872418108961611,1,2000.0,0,3,1.0,0
63,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,Formulation 16,23.48749682087826,0.01989203277000848,0.0834612317460021,0.01028482963145504,1,2000.0,0,3,1.0,0
64,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,Formulation 1,24.73009803142832,0.4222595090998011,0.1874812088449538,0.02945617533100623,1,2000.0,0,4,1.0,0
65,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,Formulation 2,1000.0,0.0,1.0,0.0,0,0.0,0,4,0.0,0
66,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,Formulation 3,1000.0,0.0,1.0,0.0,0,0.0,0,4,0.0,0
67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,Formulation 4,23.88986331354102,0.64119418784196,0.2117221818495936,0.1367239056738609,1,2000.0,0,4,1.0,0
68,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,Formulation 5,23.49113895718168,0.2026820559775281,0.1799594441777604,0.07091030546417981,1,2000.0,0,4,1.0,0
69,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,Formulation 6,24.6587068879228,0.867645999308303,0.2437475168748794,0.07460927297349969,1,2000.0,0,4,1.0,0
70,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,Formulation 7,1000.0,0.0,1.0,0.0,0,0.0,0,4,0.0,0
71,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,Formulation 8,23.21862353190073,0.1635492403707505,0.1750851952273476,0.04148280679271676,1,2000.0,0,4,1.0,0
72,0.98,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,0,Formulation 9,1000.0,0.0,1.0,0.0,0,0.0,0,4,0.0,0
73,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,Formulation 10,23.19021360165947,0.8810197346371738,0.1567649203963336,0.07473032078560189,1,2000.0,0,4,1.0,0
74,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,Formulation 11,1000.0,0.0,1.0,0.0,0,0.0,0,4,0.0,0
75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,Formulation 12,23.44645055978953,1.05811314893518,0.2017125275133698,0.02620122843877186,1,2000.0,0,4,1.0,0
76,0.862,0.138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,0,Formulation 13,1000.0,0.0,1.0,0.0,0,0.0,0,4,0.0,0
77,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,Formulation 14,22.89903978008236,0.1871415767987693,0.113365729012121,0.01799474486457962,1,2000.0,0,4,1.0,0
78,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,Formulation 15,1000.0,0.0,1.0,0.0,0,0.0,0,4,0.0,0
79,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,Formulation 16,1000.0,0.0,1.0,0.0,0,0.0,0,4,0.0,0
